regime,reader,coverage,kappa,contamination,seed_rep,observer,creator_mi,oracle_mi,mi_ratio,ghost_col_err,frac_corpus_labelled
symmetric,naive,0.3,0.9,0.6,1,1,0.8418554638405641,1.0887088433787815,0.7732604258342258,1.813155727135241,0.34
symmetric,naive,0.3,0.9,0.6,1,2,0.8215209431106446,1.0887088433787815,0.7545827776699915,1.1286268930660666,0.34
symmetric,naive,0.3,0.9,0.6,1,3,0.8051912980117769,1.0887088433787815,0.7395836847553156,0.2744668913560798,0.34
symmetric,naive,0.3,0.9,0.6,1,4,0.8990698594308735,1.0887088433787815,0.8258129479692954,1.428542013128409,0.34
symmetric,naive,0.3,0.9,0.6,1,5,0.8866316096091269,1.0887088433787815,0.814388176417753,1.7277518921758233,0.34
symmetric,naive,0.3,0.9,0.6,2,0,0.9483256583350876,1.0887088433787815,0.8710553460666141,1.5140476475604934,0.305
symmetric,naive,0.3,0.9,0.6,2,1,1.055093698787346,1.0887088433787815,0.9691238435364301,1.5823576290904298,0.305
symmetric,naive,0.3,0.9,0.6,2,2,0.8065956651173976,1.0887088433787815,0.7408736229368243,1.3270764450082448,0.305
symmetric,naive,0.3,0.9,0.6,2,3,0.8857933110518701,1.0887088433787815,0.8136181830789875,1.4934088633394595,0.305
symmetric,naive,0.3,0.9,0.6,2,4,1.0430336850152488,1.0887088433787815,0.9580464890670118,1.4209624736586368,0.305
symmetric,naive,0.3,0.9,0.6,2,5,1.0535693329080056,1.0887088433787815,0.9677236841746216,1.6467392894832689,0.305
symmetric,naive,0.4,0.9,0.6,0,0,0.8986385778306432,1.0887088433787815,0.8254168075293117,1.4005836271831797,0.4
symmetric,naive,0.4,0.9,0.6,0,1,0.8479590016475983,1.0887088433787815,0.7788666426332849,1.1627745725385672,0.4
symmetric,naive,0.4,0.9,0.6,0,2,0.7865582896149457,1.0887088433787815,0.7224689083757978,0.6805724404914993,0.4
symmetric,naive,0.4,0.9,0.6,0,3,0.843865591708368,1.0887088433787815,0.775106766919842,1.3878067929769267,0.4
