half,arm,contamination,seed_rep,observer,artifact_index,eff_sample_count,creator_col_kl,col_change_rate,deep_per_genuine,generation,deep_per_artifact
starvation,starvation_only,0.0,0,7,125,49.15709160777472,0.15606730067945065,0.014247326472594267,1.576,,
starvation,starvation_only,0.0,0,7,150,60.397848871132155,0.15616321590236779,0.010082147743202825,1.6133333333333333,,
starvation,starvation_only,0.0,0,7,175,72.13937474431322,0.15242162628898404,0.007753945835174596,1.6514285714285715,,
starvation,starvation_only,0.0,0,7,200,82.13029629527236,0.14082937537513462,0.004779619269796016,1.645,,
starvation,starvation_only,0.0,0,7,225,95.37274569264908,0.15699274355079623,0.00891759613073688,1.6977777777777778,,
starvation,starvation_only,0.0,0,7,250,107.86442741796918,0.16901899741062876,0.006525249551791068,1.728,,
starvation,starvation_only,0.0,0,7,275,119.60671180028307,0.17286227692250603,0.0030802728493735856,1.7418181818181817,,
starvation,starvation_only,0.0,0,7,300,133.09956257863203,0.19800255621088997,0.004200853607144829,1.7766666666666666,,
starvation,starvation_only,0.0,0,7,325,146.84123821041652,0.2084579160641144,0.004014218322809649,1.8092307692307692,,
starvation,starvation_only,0.0,0,7,350,158.58192018535544,0.20389792024233244,0.004880931757514238,1.8142857142857143,,
starvation,starvation_only,0.0,0,7,375,172.3241905072615,0.21224735281075544,0.0026517098800322493,1.84,,
starvation,starvation_only,0.0,0,7,400,184.81693986015,0.21115406979341847,0.0029104992301158426,1.85,,
starvation,starvation_only,0.0,1,0,25,8.739167088073346,0.11156358674018231,0.04773244642007496,1.4,,
starvation,starvation_only,0.0,1,0,50,19.231521396243455,0.18800695292357267,0.03229169781098322,1.54,,
starvation,starvation_only,0.0,1,0,75,29.21883565253459,0.15640828574013507,0.020383603119630528,1.56,,
starvation,starvation_only,0.0,1,0,100,42.710976348421944,0.23169645991098092,0.01969099871574595,1.71,,
starvation,starvation_only,0.0,1,0,125,53.953514631524534,0.27292297950760375,0.014514181341180694,1.728,,
starvation,starvation_only,0.0,1,0,150,65.94631163997438,0.2941784615783294,0.006197552632940131,1.76,,
starvation,starvation_only,0.0,1,0,175,79.43931416517768,0.31988205784061696,0.010546828764640491,1.8171428571428572,,
starvation,starvation_only,0.0,1,0,200,90.93123938792758,0.33450139172836646,0.004605079143624463,1.82,,
starvation,starvation_only,0.0,1,0,225,102.92460634550754,0.35209929237129267,0.004523008713023804,1.8311111111111111,,
starvation,starvation_only,0.0,1,0,250,113.16567050510008,0.34301096995070346,0.006468721608227466,1.812,,
starvation,starvation_only,0.0,1,0,275,124.15859918092576,0.36696698392120064,0.00657937409193627,1.8072727272727274,,
starvation,starvation_only,0.0,1,0,300,135.15232578598142,0.38255999522567086,0.005049412020032038,1.8033333333333332,,
starvation,starvation_only,0.0,1,0,325,147.1468422986006,0.40419448675366326,0.0036475665660988077,1.8123076923076924,,
starvation,starvation_only,0.0,1,0,350,157.13841795383217,0.4006929328123641,0.003980533867941331,1.7971428571428572,,
starvation,starvation_only,0.0,1,0,375,167.32815606211457,0.4070248193669857,0.002271663129335294,1.7866666666666666,,
starvation,starvation_only,0.0,1,0,400,178.07290898348845,0.42486906618624115,0.0032297575543122434,1.7825,,
starvation,starvation_only,0.0,1,1,25,10.239733621626263,0.2016816113935619,0.07437316644811053,1.64,,
starvation,starvation_only,0.0,1,1,50,21.478890854108062,0.1443855652674888,0.054596401686742874,1.72,,
starvation,starvation_only,0.0,1,1,75,31.92374906435254,0.15229338677318918,0.016180599349389133,1.7066666666666668,,
starvation,starvation_only,0.0,1,1,100,43.915923614025004,0.2057089285721601,0.01087298070979541,1.76,,
starvation,starvation_only,0.0,1,1,125,58.909608671813366,0.30193940963280796,0.014128182109835076,1.888,,
